Key,English,Portugues
,,
,,
CutScene.1,"We finally managed to advance a little further, I could no longer stand shooting and hiding. Glad we found a safe place. I wish I could remember what it was like before the war started","Finalmente conseguimos avançar um pouco mais, já não aguentava mais atirar e me esconder. Que bom que achamos um local seguro. Queria conseguir lembrar como era antes da guerra começar"
CutScene.2,There is? Don't you remember how this war started? You must be joking. Very well I will explain to you,Hã? Não se lembram de como começou essa guerra? Só pode tá de brincadeira. Muito bem vou explicar para vocês
CutScene.3,"This war began 6 years ago, in 1864. The war began due to the ambitions of the dictator Solano López, who wanted to expand his country and have access to the River Plate. Paraguay invaded, but is being defeated by our forces","Essa guerra começou há 6 anos atrás, em 1864. A guerra começou pelas ambições do ditador Solano López, que queria expandir seu país e ter acesso ao Rio do Prata. O Paraguai invadiu, mas está sendo derrotado pelas nossas forças"
CutScene.4,"Now, as you know, the war is in its final stages, but even after 6 years, it is easy to get lost.","Agora, como vocês sabem, a guerra está em seus últimos momentos, mas, mesmo depois de 6 anos, é fácil se perder."
CutScene.5,"Look, you guys put me in a good mood. I will share my veteran stories with you","Olha, vocês me deixaram de bom humor. Vou partilhar minhas histórias de veteranos para vocês"
CutScene.6,"What? Don't you want to know how with details about the war? Well, it's your unlucky day. So, sit down, I'll tell you what this war has been like so far","O que? Não querem saber como com detalhes sobre a guerra? Bom, é o dia de azar de vocês. Então, sentem-se, irei lhes contar o que foi até agora essa guerra"
CutScene.7,"This entire war was orchestrated by Solano López, my friends.","Toda essa guerra foi orquestrada por Solano López, meus caros."
CutScene.8,"Before taking power in his country, he made a trip to Austria and France, where he managed to learn war tactics. When he returned to his country, he was determined to dominate the La Plata Basin.","Antes de assumir o poder em seu país, ele fez uma viagem à Áustria e à França, onde lá conseguiu aprender táticas de guerra. Quando voltou ao seu país, ele estava decidido a dominar a Bacia do Prata."
CutScene.9,"One day in 1864, the Brazilian ship Marquês de Olinda was heading to Paraguay to take routine supplies, Paraguay captured the ship Marquês de Olinda.","Em um dia de 1864, o navio brasileiro Marquês de Olinda estava indo para o Paraguai para levar suprimentos rotineiros, o Paraguai capturou o navio Marquês de Olinda."
CutScene.10,"Solano's plan was to invade Mato Grosso, where he ended up dominating the province and settling there for a long time.","Todos os tripulantes foram mortos, exceto Frederico Carneiro, o antigo presidente da província do Mato Grosso, que foi confinado a prisão paraguaia e acabou morrendo depois. que Deus o tenha."
CutScene.11,"Solano's plan was to invade Mato Grosso, where he ended up dominating the province and settling there for a long time.","O plano de Solano era invadir o Mato Grosso, onde acabou dominando a província e se estabelecendo lá por um bom tempo."
CutScene.12,"However, it was a trap. Solano wanted to dominate the southern rivers","Porém, foi uma armadilha. Solano queria dominar os rios do sul"
CutScene.13,and for a moment he succeeded.,e por um momento ele conseguiu.
CutScene.14,"Then, there was a bloodthirsty battle, the Battle of Tuiuti, the most terrible battle I've been to. My brothers in arms, my best friends, all dead. But at least we won that battle and Solano retreated north.","Depois, se teve uma batalha sanguinária, a Batalha de Tuiuti, a batalha mais terrível que estive. Meus irmãos de guerra, meus melhores amigos, todos mortos. Mas pelo menos vencemos essa batalha e Solano recuou para o norte."
CutScene.15,"A few days later, we surrounded a fort in southern Paraguay, something I didn't even know if I would survive, but here I am.","Alguns dias depois, cercamos um forte ao sul do Paraguai, algo em que nem eu sabia se eu fosse sobreviver, mas aqui estou eu."
CutScene.16,"Soon after, I was called up to reconquer Mato Grosso, something that took longer than it should have. We managed to regain it after a year of fighting.","Logo depois, fui convocado para a reconquista do Mato Grosso, algo que demorou mais do que devia. Conseguimos reconquistar depois de um ano guerriando."
CutScene.17,"I thought I could hang Solano with my hands, put an end to this war, but I was too late and once again he ran away","Achei que pudesse enforcar Solano com minhas mãos, dar um fim nessa guerra, mas cheguei tarde demais e mais uma vez ele fugiu"
CutScene.18,"And here we are, on a hot afternoon in 1870 after a long 6 years of war.","E aqui estamos, em uma tarde quente de 1870 após longos 6 anos de guerra."
CutScene.19,"I just hope I go home and end this hell soon, I just can't take this war anymore","Espero só voltar pra casa e acabar com esse inferno logo, eu simplesmente não aguento mais essa guerra"
